seed,noise_std,subject,accuracy,num_samples
466049477,0.0,college_computer_science,0.49,100
466049477,0.0,college_medicine,0.6763005780346821,173
466049477,0.0,formal_logic,0.46825396825396826,126
466049477,0.0,high_school_statistics,0.5833333333333334,216
466049477,0.0,international_law,0.8181818181818182,121
466049477,0.0,ALL_FILTERED,0.6114130434782609,736
466049477,0.01,college_computer_science,0.51,100
466049477,0.01,college_medicine,0.6705202312138728,173
466049477,0.01,formal_logic,0.4603174603174603,126
466049477,0.01,high_school_statistics,0.5787037037037037,216
466049477,0.01,international_law,0.8016528925619835,121
466049477,0.01,ALL_FILTERED,0.6073369565217391,736
466049477,0.02,college_computer_science,0.52,100
466049477,0.02,college_medicine,0.6763005780346821,173
466049477,0.02,formal_logic,0.4603174603174603,126
466049477,0.02,high_school_statistics,0.5601851851851852,216
466049477,0.02,international_law,0.8181818181818182,121
466049477,0.02,ALL_FILTERED,0.6073369565217391,736
466049477,0.03,college_computer_science,0.5,100
466049477,0.03,college_medicine,0.6589595375722543,173
466049477,0.03,formal_logic,0.46825396825396826,126
466049477,0.03,high_school_statistics,0.5555555555555556,216
466049477,0.03,international_law,0.8016528925619835,121
466049477,0.03,ALL_FILTERED,0.5978260869565217,736
466049477,0.04,college_computer_science,0.52,100
466049477,0.04,college_medicine,0.653179190751445,173
466049477,0.04,formal_logic,0.4444444444444444,126
466049477,0.04,high_school_statistics,0.5694444444444444,216
466049477,0.04,international_law,0.8099173553719008,121
466049477,0.04,ALL_FILTERED,0.6005434782608695,736
466049477,0.05,college_computer_science,0.52,100
466049477,0.05,college_medicine,0.6589595375722543,173
466049477,0.05,formal_logic,0.4523809523809524,126
466049477,0.05,high_school_statistics,0.5787037037037037,216
466049477,0.05,international_law,0.8347107438016529,121
466049477,0.05,ALL_FILTERED,0.6100543478260869,736
466049477,0.06,college_computer_science,0.44,100
466049477,0.06,college_medicine,0.630057803468208,173
466049477,0.06,formal_logic,0.4444444444444444,126
466049477,0.06,high_school_statistics,0.5601851851851852,216
466049477,0.06,international_law,0.7768595041322314,121
466049477,0.06,ALL_FILTERED,0.5760869565217391,736
466049477,0.07,college_computer_science,0.49,100
466049477,0.07,college_medicine,0.6127167630057804,173
466049477,0.07,formal_logic,0.4523809523809524,126
466049477,0.07,high_school_statistics,0.5416666666666666,216
466049477,0.07,international_law,0.7851239669421488,121
466049477,0.07,ALL_FILTERED,0.5760869565217391,736
466049477,0.08,college_computer_science,0.49,100
466049477,0.08,college_medicine,0.6589595375722543,173
466049477,0.08,formal_logic,0.47619047619047616,126
466049477,0.08,high_school_statistics,0.5648148148148148,216
466049477,0.08,international_law,0.8016528925619835,121
466049477,0.08,ALL_FILTERED,0.6005434782608695,736
466049477,0.09,college_computer_science,0.48,100
466049477,0.09,college_medicine,0.6069364161849711,173
466049477,0.09,formal_logic,0.49206349206349204,126
466049477,0.09,high_school_statistics,0.6111111111111112,216
466049477,0.09,international_law,0.8264462809917356,121
466049477,0.09,ALL_FILTERED,0.6073369565217391,736
466049477,0.1,college_computer_science,0.47,100
466049477,0.1,college_medicine,0.6184971098265896,173
466049477,0.1,formal_logic,0.4603174603174603,126
466049477,0.1,high_school_statistics,0.5694444444444444,216
466049477,0.1,international_law,0.7933884297520661,121
466049477,0.1,ALL_FILTERED,0.5855978260869565,736
466049477,0.11,college_computer_science,0.46,100
466049477,0.11,college_medicine,0.630057803468208,173
466049477,0.11,formal_logic,0.4444444444444444,126
466049477,0.11,high_school_statistics,0.5324074074074074,216
466049477,0.11,international_law,0.768595041322314,121
466049477,0.11,ALL_FILTERED,0.5692934782608695,736
466049477,0.12,college_computer_science,0.46,100
466049477,0.12,college_medicine,0.6127167630057804,173
